id,registrationId,疾患名,疾患略語,手法,調査種別,対象者種別,専門,実績数,問合せのみ,対象条件,薬剤,リクルート実施,モデレーター,クライアント,エンドクライアント,PJ番号,実施年月,登録担当,登録日
1,20251023-0001,２型糖尿病,T2DM,IDI,定性,医師,一般内科,8,FALSE,2型糖尿病患者を月に25人以上診療,,日経BP,須田美紀,Global Eyes Research,ノボノルディスクファーマ,Y10034163,2024/11/1,飯島,
2,20251023-0002,２型糖尿病,T2DM,IDI,定性,医師,循環器内科,3,FALSE,2型糖尿病患者を月に25人以上診療,,日経BP,須田美紀,Global Eyes Research,ノボノルディスクファーマ,Y10034163,2024/11/1,飯島,
3,20251023-0003,２型糖尿病,T2DM,IDI,定性,医師,糖尿病内科,4,FALSE,2型糖尿病患者を月に50人以上診療,,日経BP,須田美紀,Global Eyes Research,ノボノルディスクファーマ,Y10034163,2024/11/1,飯島,
4,20251023-0004,２型糖尿病,T2DM,IDI,定性,医師,内分泌内科,1,FALSE,2型糖尿病患者を月に50人以上診療,,日経BP,須田美紀,Global Eyes Research,ノボノルディスクファーマ,Y10034163,2024/11/1,飯島,
5,20251023-0005,アルツハイマー型認知症,"Alzheimer's Disease, AD",IDI,定性,医師,脳神経内科,10,FALSE,アルツハイマー型認知症患者を月に20人以上診療,"レカネマブ,レケンビ",キャンドゥ,山本駿人,Blue Matter Consulting,エーザイ,Y10063186,2025/2/1,山本,
6,20251023-0006,アルツハイマー型認知症,"Alzheimer's Disease, AD",IDI,定性,医師,精神科,2,FALSE,アルツハイマー型認知症患者を月に20人以上診療,"レカネマブ,レケンビ",キャンドゥ,山本駿人,Blue Matter Consulting,エーザイ,Y10063186,2025/2/1,山本,
7,20251023-0007,アルツハイマー型認知症,"Alzheimer's Disease, AD",IDI,定性,介護者,,3,FALSE,軽度認知障害または軽度アルツハイマー型認知症と診断された患者の家族であること。,"レカネマブ,レケンビ",3H,山本駿人,Blue Matter Consulting,エーザイ,Y10063186,2025/2/1,山本,
8,20251023-0008,アルツハイマー型認知症,"Alzheimer's Disease, AD",IDI,定性,介護者,,1,FALSE,軽度認知障害または軽度アルツハイマー型認知症と診断された患者の家族であること。,"レカネマブ,レケンビ",アスマーク,山本駿人,Blue Matter Consulting,エーザイ,Y10063186,2025/2/1,山本,
9,20251023-0009,鼻茸を伴う慢性副鼻腔炎,CRSwNP,IDI,定性,医師,耳鼻咽喉科,4,FALSE,中等度から重症の鼻茸を伴う慢性副鼻腔炎患者を3ヶ月に10人以上診療,"レブリキズマブ,イブグリース",キャンドゥ,国吉尚子,The Link Group,イーラリリー,Y06038186,2025/1/1,大塚,
10,20251023-0010,慢性閉塞性肺疾患,"Chronic Obstructive Pulmonary Disease, COPD",IDI,定性,医師,呼吸器内科,12,FALSE,直近３ヶ月間に3種類の治療法を10人以上に実施,トゾラキマブ,キャンドゥ,斉藤靖雄,The Link Group,アストラゼネカ,Y10021267,2025/2/1,大塚,
11,20251023-0011,２型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,医師,循環器内科,4,FALSE,1ヶ月に診療する２型糖尿病と診断された成人患者が41人以上であること,オルフォルグリプロン,キャンドゥ,国吉尚子,The Link Group,イーラリリー,Y11075267,2025/3/1,大塚,
12,20251023-0012,２型糖尿病,"Type 2 Diabetes Mellitus, T2DM",IDI,定性,医師,内分泌代謝科/糖尿病内科,4,FALSE,1ヶ月に診療する２型糖尿病と診断された成人患者が76人以上であること,オルフォルグリプロン,キャンドゥ,国吉尚子,The Link Group,イーラリリー,Y11075267,2025/3/1,大塚,
